adult,backdrop_path,genre_ids,id,original_language_x,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,runtime,budget,revenue,genres,release_date_full,original_language_y,status
False,/jHDczXDoze03wW8tiextMCk5REA.jpg,"[10749, 53]",1313003,it,Muori di lei,"Luca is a forty-year-old teacher experiencing a relationship crisis with his wife, Sara, who is much wealthier than him. During the lockdown, Luca finds himself a bystander in the life of his new neighbor, Amanda, and decides to bridge the distance between them, with disastrous consequences.",27.5747,/zRsQgmJRCCHXAm1Ls5Q72ziVYBh.jpg,2025-03-20,Close To Me,False,5.681,47,103,5000000,490149,Romance|Thriller,2025-03-20,it,Released
False,/jHDczXDoze03wW8tiextMCk5REA.jpg,"[10749, 53]",1313003,it,Muori di lei,"Luca is a forty-year-old teacher experiencing a relationship crisis with his wife, Sara, who is much wealthier than him. During the lockdown, Luca finds himself a bystander in the life of his new neighbor, Amanda, and decides to bridge the distance between them, with disastrous consequences.",27.5747,/zRsQgmJRCCHXAm1Ls5Q72ziVYBh.jpg,2025-03-20,Close To Me,False,5.681,47,103,5000000,490149,Romance|Thriller,2025-03-20,it,Released
False,/ii8QGacT3MXESqBckQlyrATY0lT.jpg,"[28, 878, 12]",27205,en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",27.4369,/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,2010-07-15,Inception,False,8.37,38584,148,160000000,839030630,Action|Science Fiction|Adventure,2010-07-15,en,Released
False,/vjlvi4odjmRlBHRrEnXdKytlQSH.jpg,[18],144613,en,Beau Brummel,"George Bryan Brummel, a British military officer, loves Lady Margery, the betrothed of Lord Alvanley. Despite her own desperate love for Brummel, she submits to family pressure and marries Lord Alvanley. Brummel, broken-hearted, embarks upon a life of revelry.",27.181,/23uA2XhesdN1FaPLh89QctNlRNB.jpg,1924-03-30,Beau Brummel,False,6.8,13,127,343000,495000,Drama,1924-03-30,en,Released
False,/ovEC9AOWAxSfm5iBQp7wzeNegAQ.jpg,"[28, 80, 53]",1290821,en,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",26.9369,/klvZs66SG19qmacdwxSRkdFQhQS.jpg,2026-01-28,Shelter,False,7.5,2,107,0,0,Action|Crime|Thriller,2026-01-28,en,Released
False,/7WL9YUEnzk7AbXyN0S4IJdl7Vgo.jpg,"[10770, 18, 35, 9648, 14]",237439,ja,SPEC〜零〜,"High school student Saya Toma  lost her parents and younger brother in an airplane accident.  Detective Akio Kondo came and told her ""your family has a high possibility that they were killed by people who have spec."" That was the first time she heard of ""spec"". 6 years later, Saya Toma, who has never forgotten what the Detective said, decides to become a detective. She returns to Japan after receiving training by the FBI in the United States. Saya Toma is assigned to work unsolved cases in the Public Security Bureau.  Meanwhile, because of Satoshi Chii's scheme, Juichi Ninomae considers Saya Toma his parents' enemy and tries to push her to the edge. Satoshi Chii's scheme has also caused Saya Toma and Juichi Ninomae to forget that they are brother and sister. The siblings are headed to a life-staking  fight.  A girl named Maho Ueno becomes involved in their fight. To protect Maho Ueno, Saya Toma uses ""spec"".",26.6978,/jHSBVaU2K0tPLYtTMg07nGTHGOW.jpg,2013-10-23,SPEC: Zero,False,7.905,21,138,0,0,TV Movie|Drama|Comedy|Mystery|Fantasy,2013-10-23,ja,Released
False,/nLwMT1wZQvLkhvJOxemP0D4eo77.jpg,"[35, 18, 878]",1154725,fr,Un monde merveilleux,"In a near future, Max and her daughter are selling stolen robots on the black market. When Max loses custody of her daughter following their latest scheme, she must rely on the last robot she took, T-O, who is ready to do anything to help.",26.6721,/eiu1bJEpBQeq5eyNHzuMhYWaLF2.jpg,2025-04-12,Robot T-O,False,5.4,23,78,0,0,Comedy|Drama|Science Fiction,2025-04-12,fr,Released
False,/ie827c44beNPNnxIOi8EM9mCI4A.jpg,"[27, 9648, 53]",1408208,ja,８番出口,"A man gets lost in an underground passage. He follows the ""guide"" through the passage, but one after another, strange things happen to him. Is this space real? Or an illusion? Will the man be able to escape the passage?",26.6659,/pOumcMZASyZA8of7SJRJNACEm23.jpg,2025-08-28,Exit 8,False,6.274,126,95,0,39003150,Horror|Mystery|Thriller,2025-08-28,ja,Released
False,,[],1432046,ko,남친깨기전에빨리빼!,,26.4145,/g0NN2e7WXekSGFyjtf4fTLEsOEh.jpg,2021-03-07,남친깨기전에빨리빼!,False,0.0,0,0,0,0,,2021-03-07,ko,Released
False,/2fwoBrUYMK0PZVaFqesx2CoRF6H.jpg,[35],1471345,es,Homo Argentum,"The film consists of 16 shorts that explore, with humor and social criticism, the characteristics of the Argentine identity.",26.2653,/21WlZtv1GZgiD2qAVHOkg63LRmU.jpg,2025-08-14,Homo Argentum,False,5.602,54,98,0,16870,Comedy,2025-08-14,es,Released
False,/me1O35voxm9rnyNvoVAVZdMA5Ss.jpg,[18],114155,en,Effie Gray,A look at the mysterious relationship between Victorian art critic John Ruskin and his teenage bride Effie Gray.,26.1861,/eEeuxFscc6NLdyhpvqBGsHgpqV3.jpg,2014-03-08,Effie Gray,False,5.9,191,104,0,721143,Drama,2014-03-08,en,Released
False,/lZYMXx74pWmbj5Q5jp1QaMvmuuR.jpg,"[28, 14, 53]",1180831,no,Troll 2,"When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet.",26.1004,/p6xAExLNFbHcLfvSuvLPoM8aqZU.jpg,2025-11-30,Troll 2,False,6.527,386,102,11200000,0,Action|Fantasy|Thriller,2025-11-30,no,Released
False,/9nhjGaFLKtddDPtPaX5EmKqsWdH.jpg,"[10749, 878, 53]",950396,en,The Gorge,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",26.0176,/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,2025-02-13,The Gorge,False,7.64,3380,128,70000000,0,Romance|Science Fiction|Thriller,2025-02-13,en,Released
False,/q9bvjUkpKltPE0S9oxci2pmD1Zx.jpg,"[878, 28]",1309012,en,Altered,"In an alternate present, genetically enhanced humans dominate society. Outcasts Leon and Chloe fight for justice against corrupt politicians exploiting genetic disparity, risking everything to challenge the oppressive system.",25.9765,/6QlAcGRaUrgHcZ4WTBh5lsPnzKx.jpg,2025-09-18,Altered,False,5.953,85,85,15000000,346774,Science Fiction|Action,2025-09-18,en,Released
False,/6zKjoOOb3OZnZuiHtQZn4Kd69Gq.jpg,"[27, 53]",1197137,en,Black Phone 2,"Four years after escaping The Grabber, Finney Blake is struggling with his life after captivity. When his sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",25.7768,/gFddBLQ8wj9M9O82iPzgX5KVNHz.jpg,2025-10-15,Black Phone 2,False,6.781,871,114,30000000,132235319,Horror|Thriller,2025-10-15,en,Released
False,/YCunHbbBUBKx6daM9XZAXkOH8k.jpg,"[28, 53]",1291608,hi,धुरंधर,"In the early 2000s, an Indian undercover operative infiltrates Karachi's underworld , breaking into its inner circle to dismantle a violent nexus from within.",25.7745,/8FHOtUpNIk5ZPEay2N2EY5lrxkv.jpg,2025-12-05,Dhurandhar,False,6.8,158,212,22500000,160000000,Action|Thriller,2025-12-05,hi,Released
False,/lgJlu0Fp1mdTaFEeaQJ7DskhSOr.jpg,"[14, 18, 80]",497,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",25.7268,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,1999-12-10,The Green Mile,False,8.504,18777,189,60000000,286801374,Fantasy|Drama|Crime,1999-12-10,en,Released
False,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,"[10751, 35, 12, 16, 14]",502356,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",25.6744,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,The Super Mario Bros. Movie,False,7.597,10227,93,100000000,1362000000,Family|Comedy|Adventure|Animation|Fantasy,2023-04-05,en,Released
False,/v0negFRxnxLtanMNXY7HYP7RUZ6.jpg,"[18, 35, 10749]",11215,en,Baby Boom,"J.C. Wiatt is a talented and ambitious New York City career woman who is married to her job and working towards partner at her firm. She has a live-in relationship with Steven, a successful investment broker who, along with J.C., agreed children aren't part of the plan. J.C.'s life takes an unexpected turn when a distant relative dies and the will appoints her the caretaker of their baby girl, Elizabeth. The baby's sudden arrival causes Steven to leave, breaking off their relationship. Juggling power lunches and powdered formula, she is soon forced off the fast track by a conniving colleague and a bigoted boss. But she won't stay down for long. She'll prove to the world that a woman can have it all and on her own terms too!",25.6133,/4Jy5U4HITJWUDYJc1NGgJLIjbWz.jpg,1987-10-07,Baby Boom,False,6.391,394,110,15000000,26712476,Drama|Comedy|Romance,1987-10-07,en,Released
False,,[10749],1523145,ru,Твое сердце будет разбито,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",25.4325,/naOC89qeEygU44xM9EIot1m5AUQ.jpg,2026-03-26,Your Heart Will Be Broken,False,0.0,0,0,0,0,Romance,2026-03-26,ru,Post Production
False,/mPtPJzBkwksUoMEKpkZqxBrlKpZ.jpg,[27],1422096,en,Good Boy,"A loyal dog moves to a rural family home with his owner Todd, only to discover supernatural forces lurking in the shadows. As dark entities threaten his human companion, the brave pup must fight to protect the one he loves most.",25.2972,/pvMHRi09ur2L1drXh2dXFtuMFgl.jpg,2025-10-01,Good Boy,False,6.7,492,73,70000,8781040,Horror,2025-10-01,en,Released
False,/hFjLNzQFA85vMVEDDupOnajkbkU.jpg,"[10751, 14, 35]",1181765,de,Die Schule der magischen Tiere 3,"Ida wants to perform with her class at the annual Forest Day to campaign for the protection of the local forest. Even Helene is there, as she hopes to use the footage of the performance to build up her influencer channel. What nobody knows is that Helene's family is on the verge of bankruptcy and Helene urgently needs followers to avert the threat of bankruptcy. Helene is also under pressure from the high expectations of her magical animal, Karajan the cat from Paris, who imagines a life of pure luxury.",25.2742,/yuwPuKYdXUch49sEb757bNs4t0b.jpg,2024-09-26,School of Magical Animals 3,False,6.2,23,100,0,25000869,Family|Fantasy|Comedy,2024-09-26,de,Released
False,/tyQo080tijexyUHBvWPwQt26bZa.jpg,"[28, 12, 878]",634649,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",25.0254,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,2021-12-15,Spider-Man: No Way Home,False,7.933,21497,148,200000000,1921847111,Action|Adventure|Science Fiction,2021-12-15,en,Released
False,/5lQ4euO30sDin5nCifvi0vURFNd.jpg,"[28, 35, 10751]",1248226,en,Playdate,"When out-of-work accountant Brian joins stay-at-home dad Jeff for a playdate with their sons, he expects a laid-back afternoon. Instead, they're chased by mercenaries, and Brian—totally unprepared—must survive one absurd obstacle after another.",24.6048,/fGodXWqJkkkbSebPIlxLSygV8GY.jpg,2025-11-05,Playdate,False,6.0,480,93,0,0,Action|Comedy|Family,2025-11-05,en,Released
False,/u8T5i8QfXSZmfJfi6Boxrquzk6J.jpg,[18],27372,ja,父ありき,"Shuhei Horikawa, a poor schoolteacher, struggles to raise his son Ryohei by himself, despite neither money nor prospects.",24.5729,/oJ2jVlhj60ofzFfXjfLkOD01rxZ.jpg,1942-04-01,There Was a Father,False,6.968,79,93,0,0,Drama,1942-04-01,ja,Released
False,/tcBX2dtkNozZ0uDLVaxXrE6rqyN.jpg,[27],1038392,en,The Conjuring: Last Rites,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,24.5699,/byWgphT74ClOVa8EOGzYDkl8DVL.jpg,2025-09-03,The Conjuring: Last Rites,False,6.9,1612,136,55000000,494656445,Horror,2025-09-03,en,Released
False,/tlm8UkiQsitc8rSuIAscQDCnP8d.jpg,"[28, 878]",603,en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",24.5204,/p96dm7sCMn4VYAStA6siNz30G1r.jpg,1999-03-31,The Matrix,False,8.237,27300,136,63000000,463517383,Action|Science Fiction,1999-03-31,en,Released
False,/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,"[12, 14, 28]",122,en,The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",24.4261,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2003-12-17,The Lord of the Rings: The Return of the King,False,8.492,25940,201,94000000,1118888979,Adventure|Fantasy|Action,2003-12-17,en,Released
False,/TU9NIjwzjoKPwQHoHshkFcQUCG.jpg,"[35, 53, 18]",496243,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",24.4109,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019-05-30,Parasite,False,8.495,20038,133,11363000,257591776,Comedy|Thriller|Drama,2019-05-30,ko,Released
False,/uDjAilZAp3LksHsJOuNh2umpjLg.jpg,"[18, 10749]",1163055,tl,What If?,"When a pair of newlywed musicians get trapped in a storm on their island honeymoon, they must face difficult truths that could tear their marriage apart.",24.2555,/9dp0LlnahtNMwVk673H9fd1fat3.jpg,2023-09-07,What If?,False,6.2,4,112,0,0,Drama|Romance,2023-09-07,tl,Released
False,/sRvXNDItGlWCqtO3j6wks52FmbD.jpg,"[16, 35, 14, 12, 10751]",808,en,Shrek,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",24.0488,/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg,2001-05-18,Shrek,False,7.754,18334,90,60000000,488628188,Animation|Comedy|Fantasy|Adventure|Family,2001-05-18,en,Released
False,/3WqvZGInmMhX7AvmY5BRbyNtCqK.jpg,"[18, 27, 14]",1367125,eu,Gaua,"Spain, Basque Country, 17th century. At night and through the mountains, Kattalin escapes from her farmhouse and, while wandering through the deep forest, she senses a presence that stalks her.",23.974,/hWSY7OdBBJplNMWNPT1NIGYTRH2.jpg,2025-11-14,Gaua (The Night),False,6.083,12,96,0,0,Drama|Horror|Fantasy,2025-11-14,eu,Released
False,/1XAC6RPT01UX9EQGy2JVn5c8pgy.jpg,"[12, 14]",671,en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",23.8598,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,2001-11-16,Harry Potter and the Philosopher's Stone,False,7.9,29084,152,125000000,976475550,Adventure|Fantasy,2001-11-16,en,Released
False,/gwohbraLtlTW7F9EAyxOckSBwf3.jpg,[18],1241983,en,Train Dreams,A logger leads a life of quiet grace as he experiences love and loss during an era of monumental change in early 20th-century America.,23.6223,/wfzYOVdafdbD1d3SxNqiBtV2Yhx.jpg,2025-11-05,Train Dreams,False,7.333,566,102,10000000,0,Drama,2025-11-05,en,Released
False,/9mKhhHBfIAWy9TNVHAXqMEFokes.jpg,"[27, 9648]",1078605,en,Weapons,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",23.589,/cpf7vsRZ0MYRQcnLWteD5jK9ymT.jpg,2025-08-04,Weapons,False,7.278,2807,129,38000000,269072492,Horror|Mystery,2025-08-04,en,Released
False,/kzeBfhXMRWiykBsqoL3UbfaM0S.jpg,"[28, 35, 80]",1035259,en,The Naked Gun,"Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr. Following in his father's footsteps, he must solve a murder case to prevent Police Squad from closure.",23.5592,/rmwQ8GsdQ1M3LtemNWLErle2nBU.jpg,2025-07-30,The Naked Gun,False,6.444,1354,85,42000000,102147396,Action|Comedy|Crime,2025-07-30,en,Released
False,/sY44GAYod3VSUEVJYSgJiHvIQvE.jpg,"[18, 10749]",1082900,no,Elskling,"Maria finds herself at a crossroads when her husband suddenly announces that he wants to end their relationship. She must either let her whole world come crashing down, or come to terms with the life she has and find a way forward.",23.3998,/3g1ikwXdRC3PoVHSoH8JM97G0jx.jpg,2024-09-19,Loveable,False,7.0,45,101,0,0,Drama|Romance,2024-09-19,no,Released
False,/unrB0xjs1yqfng3AgXL9rKHLlvQ.jpg,"[28, 18, 80]",75701,zh,四騎士,"Four highly skilled fighters unite to take on a ruthless criminal gang, battling corruption, murder, and injustice in the wake of the Korean War.",23.3068,/uEXsg8hLRAUvwui068Y3oDTGuHT.jpg,1972-12-22,Four Riders,False,5.727,11,113,0,0,Action|Drama|Crime,1972-12-22,zh,Released
False,/bQv2asCwfA1JSub3HYzZGRSKDye.jpg,"[27, 9648]",588,en,Silent Hill,"Rose, a desperate mother takes her adopted daughter, Sharon, to the town of Silent Hill in an attempt to cure her of her ailment. After a violent car crash, Sharon disappears and Rose begins a desperate search to get her back. She descends into the center of the twisted reality of a town's terrible secret. Pursued by grotesquely deformed creatures and townspeople stuck in permanent purgatory, Rose begins to uncover the truth behind the apocalyptic disaster that burned the town 30 years earlier.",23.212,/dVW2L5eu6Hv0nfEEp0nY2lYmcbc.jpg,2006-04-21,Silent Hill,False,6.6,4679,125,50000000,100605135,Horror|Mystery,2006-04-21,en,Released
False,/2vd6IJm4YZv76Ct89tkfevMpRUi.jpg,"[10402, 35, 36]",218093,en,Knickerbocker Holiday,"The wild and woolly early days of New York -- when it was still known as New Amsterdam -- provide the backdrop for this period musical-comedy. In 1650, Peter Stuyvesant arrives in New Amsterdam to assume his duties as governor. Stuyvesant is hardly the fun-loving type, and one of his first official acts is to call for the death of Brom Broeck, a newspaper publisher well-known for his fearless exposes of police and government corruption. However, Broeck hasn't done anything that would justify the death penalty, so Stuyvesant waits (without much patience) for Broeck to step out of line. Broeck is romancing a beautiful woman named Tina Tienhoven, whose sister Ulda happens to be dating his best friend, Ten Pin. After Stuyvesant's men toss Broeck in jail on a trumped-up charge, Stuyvesant sets his sights on winning Tina's affections.",23.1683,/4IeyT46WeL9RL5MQgFRGD22NhJa.jpg,1944-03-17,Knickerbocker Holiday,False,5.0,4,85,0,0,Music|Comedy|History,1944-03-17,en,Released
False,/zeMMVjOFwXPfRIW6HzaEr0UQlRY.jpg,"[27, 53]",1194963,ko,노이즈,"Ju-young is a young woman with a hearing impediment who decides to investigate her sister's inexplicable disappearance, last seen in her apartment. Feeling more and more cornered, Ju-young begins to hear strange sounds and sense an evil presence in the apartment.",23.1485,/uU3NXe7QqjJNxVpYPdz8dscFWlj.jpg,2025-06-25,Noise,False,6.3,38,95,0,12199988,Horror|Thriller,2025-06-25,ko,Released
